partitioning,price,rooms_count,useful_surface,built_surface,bathrooms_count,price_range
decomandat,59800,2.0,60.0,72.0,1.0,mic
decomandat,52000,2.0,48.0,57.0,1.0,mic
decomandat,54900,2.0,48.0,57.0,1.0,mic
decomandat,156000,2.0,54.0,79.0,1.0,mare
decomandat,163284,2.0,61.0,74.0,1.0,mare
decomandat,72900,1.0,48.0,,1.0,mediu
decomandat,59500,2.0,60.0,69.0,1.0,mic
decomandat,116000,4.0,84.0,100.0,2.0,mediu
decomandat,269500,3.0,104.0,173.0,2.0,mare
decomandat,64700,2.0,,,1.0,mic
decomandat,94500,3.0,,94.0,2.0,mediu
decomandat,94500,3.0,52.0,65.0,1.0,mediu
decomandat,39000,2.0,39.0,,1.0,mic
decomandat,121900,3.0,94.0,100.0,2.0,mediu
decomandat,94000,2.0,54.0,67.0,1.0,mediu
decomandat,72200,2.0,60.0,67.0,1.0,mediu
decomandat,71500,2.0,52.0,70.0,1.0,mediu
semidecomandat,48500,2.0,49.0,58.0,1.0,mic
semidecomandat,169000,2.0,55.0,65.0,1.0,mare
decomandat,68820,2.0,57.0,68.0,1.0,mediu
decomandat,77500,2.0,60.0,89.0,1.0,mediu
decomandat,82700,3.0,70.0,97.0,2.0,mediu
decomandat,136457,3.0,87.0,99.0,2.0,mediu
decomandat,35000,1.0,30.0,46.0,1.0,mic
decomandat,42000,1.0,30.0,42.0,1.0,mic
decomandat,49450,2.0,58.0,66.0,1.0,mic
semidecomandat,71500,2.0,61.0,71.0,1.0,mediu
decomandat,44000,1.0,41.0,50.0,1.0,mic
decomandat,49875,2.0,55.0,65.0,1.0,mic
decomandat,199500,3.0,78.0,109.0,2.0,mare
decomandat,62000,2.0,61.0,70.0,1.0,mic
decomandat,106000,2.0,44.0,56.0,1.0,mediu
decomandat,640000,5.0,234.0,357.0,3.0,mare
decomandat,348800,3.0,104.0,122.0,2.0,mare
decomandat,70000,3.0,69.0,84.0,2.0,mediu
decomandat,141000,3.0,65.0,78.0,2.0,mediu
decomandat,72000,2.0,59.0,64.0,1.0,mediu
decomandat,160000,3.0,70.0,87.0,2.0,mare
decomandat,414320,4.0,120.0,163.0,3.0,mare
decomandat,234000,3.0,76.0,103.0,2.0,mare
decomandat,90173,2.0,45.0,106.0,1.0,mediu
decomandat,53000,2.0,50.0,60.0,1.0,mic
decomandat,137976,3.0,162.0,177.0,2.0,mediu
decomandat,65000,2.0,60.0,65.0,1.0,mic
decomandat,71500,3.0,70.0,85.0,2.0,mediu
decomandat,275452,3.0,206.0,250.0,2.0,mare
decomandat,63200,3.0,79.0,93.0,1.0,mic
decomandat,49714,2.0,58.0,69.0,1.0,mic
semidecomandat,192100,2.0,53.0,76.0,1.0,mare
decomandat,62000,2.0,63.0,75.0,1.0,mic
decomandat,173062,3.0,83.0,106.0,2.0,mare
decomandat,43900,2.0,40.0,48.0,1.0,mic
decomandat,74190,3.0,88.0,104.0,2.0,mediu
decomandat,59000,2.0,62.0,75.0,1.0,mic
decomandat,72100,3.0,86.0,96.0,2.0,mediu
decomandat,76900,3.0,91.0,104.0,2.0,mediu
decomandat,124000,2.0,59.0,79.0,1.0,mediu
semidecomandat,50500,1.0,41.0,45.0,1.0,mic
decomandat,80775,3.0,85.0,,1.0,mediu
decomandat,210000,4.0,132.0,153.0,3.0,mare
decomandat,168000,3.0,79.0,85.0,2.0,mare
decomandat,73900,3.0,71.0,83.0,2.0,mediu
decomandat,169000,3.0,76.0,94.0,2.0,mare
decomandat,250000,4.0,143.0,155.0,3.0,mare
decomandat,31500,1.0,39.0,48.0,1.0,mic
decomandat,205000,2.0,62.0,76.0,1.0,mare
decomandat,52500,2.0,55.0,65.0,1.0,mic
decomandat,55200,2.0,52.0,61.0,1.0,mic
semidecomandat,25000,1.0,25.0,31.0,1.0,mic
decomandat,134900,2.0,71.0,72.0,1.0,mediu
decomandat,39900,2.0,46.0,55.0,1.0,mic
decomandat,274000,3.0,85.0,103.0,2.0,mare
decomandat,31500,1.0,39.0,49.0,1.0,mic
decomandat,55000,2.0,55.0,63.0,1.0,mic
decomandat,71330,3.0,71.0,82.0,2.0,mediu
decomandat,235000,3.0,100.0,165.0,2.0,mare
decomandat,120000,3.0,71.0,86.0,1.0,mediu
decomandat,62700,2.0,60.0,72.0,1.0,mic
decomandat,179000,4.0,162.0,192.0,2.0,mare
decomandat,52000,2.0,51.0,60.0,1.0,mic
decomandat,71900,3.0,70.0,78.0,2.0,mediu
decomandat,114330,2.0,67.0,78.0,1.0,mediu
decomandat,349990,3.0,121.0,155.0,2.0,mare
semidecomandat,92000,2.0,53.0,66.0,1.0,mediu
decomandat,71900,3.0,70.0,78.0,2.0,mediu
decomandat,113500,3.0,74.0,88.0,2.0,mediu
decomandat,184990,2.0,46.0,50.0,1.0,mare
decomandat,319000,4.0,157.0,180.0,3.0,mare
semidecomandat,62000,3.0,66.0,74.0,1.0,mic
decomandat,29900,2.0,56.0,62.0,1.0,mic
decomandat,90288,2.0,58.0,70.0,1.0,mediu
decomandat,36990,1.0,30.0,36.0,1.0,mic
semidecomandat,114900,3.0,74.0,86.0,2.0,mediu
semidecomandat,86999,4.0,79.0,89.0,3.0,mediu
decomandat,79000,3.0,70.0,78.0,2.0,mediu
decomandat,59072,2.0,56.0,63.0,1.0,mic
decomandat,112000,3.0,70.0,88.0,2.0,mediu
decomandat,525000,4.0,175.0,238.0,3.0,mare
decomandat,88600,2.0,62.0,74.0,1.0,mediu
decomandat,60000,2.0,59.0,65.0,1.0,mic
decomandat,38200,1.0,37.0,46.0,1.0,mic
decomandat,73500,3.0,67.0,77.0,1.0,mediu
decomandat,38500,1.0,33.0,41.0,1.0,mic
decomandat,127500,3.0,80.0,95.0,1.0,mediu
decomandat,69550,2.0,52.0,67.0,1.0,mediu
decomandat,96500,2.0,60.0,82.0,1.0,mediu
semidecomandat,116000,3.0,88.0,114.0,1.0,mediu
nedecomandat,97670,2.0,75.0,,1.0,mediu
decomandat,250000,5.0,135.0,145.0,2.0,mare
decomandat,179000,4.0,112.0,145.0,3.0,mare
decomandat,65000,2.0,93.0,102.0,2.0,mic
decomandat,47500,1.0,40.0,49.0,1.0,mic
decomandat,79900,2.0,55.0,70.0,1.0,mediu
decomandat,50375,2.0,60.0,70.0,1.0,mic
decomandat,94800,2.0,59.0,71.0,1.0,mediu
